Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
A two dollar bill from 1953 is worth what,5,50.0,-4.3
What is franky jonas 's favorite color,0,0.0,0.0
Is there an emergency action plan,3,30.0,-6.25
How much does medical insurance cost for a single person,2,20.0,-63.0
What is noah cyrus address so you can send her a fan mail,1,10.0,0.0
Have many points did wayne getzky get,0,0.0,0.0
How wide can vagina 's get,2,20.0,-3.0
Calories in a lollipop,5,50.0,0.0
Pdf password cracker v 3.1 registration key,0,0.0,0.0
Another name for karyokinesis,0,0.0,0.0
What continent you indonesia on,3,30.0,-0.5
Do deers live in savanna,1,10.0,0.0
What did lice cause in ww1,1,10.0,0.0
What women invented the brush,1,10.0,0.0
What is the order of electromagnetic radiation decreasing frequency,2,20.0,-1.0
New tropicana advert,0,0.0,0.0
Where did siddartha Gautama live and teach,2,20.0,-4.0
2003 GMC yukon ignition,0,0.0,0.0
What is the value of 1928 us 50 bill,2,20.0,-24.0
Where is alpha amylase released,3,30.0,-16.0
Which Band did Krauss join,2,20.0,-1.0
What is the use of fruits,0,0.0,0.0
Where do sugar gliders like to live,0,0.0,0.0
How many championships have lakers,2,20.0,-17.0
What are china major rivers and deserts,3,30.0,0.75
What do dholes eat,5,50.0,-0.95
Stereo wiring diagram for a 1991 Toyota Camry,0,0.0,0.0
Names of divine horses on howrse,1,10.0,0.0
What is the population of teachers in the US,2,20.0,-4.0
How did Fidel V Ramos campaigned,1,10.0,0.0
What are this 13 systems of human body,1,10.0,0.0
What are the Flickertail 's eating habits,0,0.0,0.0
What kind of money does croatia have,3,30.0,-2.5
What do our circulatory system includes,1,10.0,0.0
A vaccination produces what kind of immunity,1,10.0,0.0
Where does Justin Timbelake live,1,10.0,0.0
Is corllins university a credited legal college,1,10.0,0.0
What is a myocaridal infaraction,4,40.0,-12.6
When did bobsledding first enter,3,30.0,-2.25
500 mg of cinnamon equal how many teaspoons,1,10.0,0.0
How many religions in spain,5,50.0,-5.7
How many lice did bob marly have,2,20.0,-9.0
What were the domsetic consequences of world war 1,5,50.0,-4.35
What is the meaning of multitasking and multiuser operating system,1,10.0,0.0
The sun and the celestial bodies that orbit the sunincluding planets satellites asteroids comets dust and gas,2,20.0,-36.0
Tell you about vampire bats,3,30.0,-9.25
Specifying categories,2,20.0,-3.0
How much does a rookie card of babe ruth cost,1,10.0,1.0
So what is fair trade,2,20.0,-52.0
What is the secret ingredient of coke,4,40.0,-4.1
When and how did Slobodan Milosevic die,4,40.0,-1.1
What do teardrop tattoos on your eyes symbolize,3,30.0,-3.5
What colors can a Yorkie be,0,0.0,0.0
On neopets how can you put a code in a scroll box without the code being in the same box as another,0,0.0,0.0
How much does it cost to rent a limo for the day in Madison WI,0,0.0,0.0
Where is the 50 story eiffel tower located,0,0.0,0.0
What is the length of an amtrak train,0,0.0,0.0
Where to give ideas for an invention,0,0.0,0.0
You are a big fan or shakira how you can send her a letter,0,0.0,0.0
Code to beanie babies,2,20.0,-71.0
How much is s in roman numerals,1,10.0,0.0
What is the origin of the mineral silver,1,10.0,0.0
What is the principle behind the bluetooth,5,50.0,-1.2999999999999998
What is transmission spectrum,2,20.0,1.0
How many nutrons does radon have,0,0.0,0.0
What color is rihanna eyes,3,30.0,-0.5
Who invented metal coil thermometer,1,10.0,1.0
How did Rome really begin,1,10.0,0.0
What part of california do corbin live in,0,0.0,0.0
What is the instrument called that is used to measure tornado 's,3,30.0,-9.0
How does the future look on being a lawyer,1,10.0,1.0
How do you adjust brightness on your laptop,5,50.0,0.4
Whenwhere did william morris die,1,10.0,0.0
How do sanction help to keep the global community safe and secure,0,0.0,0.0
What is the function of command xargs in linux,4,40.0,0.6
How does air pollution affect the food webs,0,0.0,0.0
What was the name of the Prime Minister in Fiji in 2009,2,20.0,-4.0
What kind of meaning do proverbs have,2,20.0,-52.0
How many planet,4,40.0,-4.4
What is filters harmful substances from lymph,2,20.0,-16.0
How did park yong ha died,2,20.0,-24.0
How did people make dresses in colonial times,0,0.0,0.0
How many liters are in a cup of milk,2,20.0,0.0
How much does marijuana coast per ounce,1,10.0,0.0
What is the purpose of a steak plate,1,10.0,0.0
What is the name of the four sperm cells,0,0.0,0.0
What is the longitudes of delhi,3,30.0,-5.5
How is columbia related to venezuela,1,10.0,1.0
Fiona wood what is she famous for,3,30.0,-4.0
What sounds does brakes make,2,20.0,-3.0
What nationality are the people in germany,0,0.0,0.0
What niche do plants have,1,10.0,0.0
How many gold medals did mia hamm earn,1,10.0,0.0
What did Roger Bannister,3,30.0,-6.25
How much does a medical abortion cost at three weeks,2,20.0,-3.0
What is rank 2nd in populated city,0,0.0,0.0
What do mexicans houses look like,1,10.0,0.0
64 millilitres how many litres,0,0.0,0.0
You want to text dirty with your boyfriend what should you say,3,30.0,-5.75
Can you give me example of anecdotes by the filipino writers,0,0.0,0.0
Averages,1.65,16.5,-4.933
